"Reference","Value","Datasheet","Footprint","Qty","Mfr. Part #","Price","Description","Mfr.","Mfr. #","Mfr. ","Order Link"
"C1,C6,C7,C8,C10","0.1 uF","https://content.kemet.com/datasheets/KEM_C1023_X7R_AUTO_SMD.pdf","0805 Ceramic Capacitor:CAPC2012X140N","5","","$0.109","Ceramic Capacitor 0.1uF ±5% 50V X7R 0805","KEMET","C0805C104J5RACAUTO","","https://www.digikey.com/en/products/detail/kemet/C0805C104J5RACAUTO/3314919"
"C2,C9","47 uF","https://content.kemet.com/datasheets/KEM_T2073_T59X.pdf","47 uF Tantalum Capacitor:CAPMP7.6X4.3_3.1N_KEM","2","","$2.13","Tantalum Polymer Capacitor 47uF ±20% 25V 2917","","T598D476M025ATE060","KEMET","https://www.digikey.com/en/products/detail/kemet/T598D476M025ATE060/7605108"
"C3","10 nF","https://content.kemet.com/datasheets/KEM_C1109_X8G_150C_SMD.pdf","0805 Ceramic Capacitor:CAPC2012X140N","1",""," $0.553","Capacitor Ceramic 10 nF ±10% 50V X8G 0805","","C0805C103K5TACAUTO","KEMET","https://www.digikey.com/en/products/detail/kemet/C0805C103K5TACAUTO/13546794"
"C4","0.47 uF","https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf","0805 Ceramic Capacitor:CAPC2012X140N","1","","$0.85","Ceramic Capacitor 0.47uF ±5% 6.3V X7R 0805","","C0805C474J9RACTU","KEMET","https://www.digikey.com/en/products/detail/kemet/C0805C474J9RACTU/2212881?s=N4IgTCBcDaIMIAYAcCCscAsB2DApAnAEoCCcAKgKogC6AvkA"
"C5","0.1 uF","https://content.kemet.com/datasheets/KEM_C1023_X7R_AUTO_SMD.pdf","0805 Ceramic Capacitor:CAPC2012X140N","1","","$0.109","0.1 uF 0805 Ceramic Capacitor - Automotive, Bypass, Decoupling","KEMET","C0805C104J5RACAUTO","","https://www.digikey.com/en/products/detail/kemet/C0805C104J5RACAUTO/3314919"
"D1,D7,D10,D13","~","https://www.we-online.com/components/products/datasheet/150080GS75000.pdf","0805 Green LED:WL-SMCW_0805","4","","$0.17","0805, Green Typ.(@20mA): 520nm, 450mcd, 3.2V, 140° InGaN","Würth Elektronik","150080GS75000","","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150080GS75000/4489915"
"D2,D3,D6,D8,D9,D11,D12,D14","~","https://www.vishay.com/docs/85730/gsd2004w.pdf","Standard Diode:SOD2613X115N","8","","$0.21","Standard Diode SOD-323","Vishay Semiconductor","GSD2004WS-HE3-08","","https://www.digikey.com/en/products/detail/vishay-general-semiconductor-diodes-division/GSD2004WS-HE3-08/4831745?s=N4IgjCBcpgbFoDGUBmBDANgZwKYBoQB7KAbRABYAGSgJnIgKtoHZmQBdAgBwBcoQAyjwBOASwB2AcxABfArACcCEMkjps%2BIqQqUFAZn0dufSIJETpckAFZmlZavW4CxSGSrN9ADiMhe-ITEpWQIwBVYHVExnLTcQPTgFMBpff1NAixDwBS8laBUojRdte3YrGhpYCHzHaM1XMjAAAgA1JoABJrBqJoBbAEFUkxAAYUIAVy4MHAATAFVxUR4AeRQAWRw0LHHhHCyAWngaqBFx%2Bu0UsoJ9lOPIU-O46w4Zcu0Z0UIZvbKgA"
"D4,D5","~","https://www.we-online.com/components/products/datasheet/150080RS75000.pdf","0805 Red LED:WL-SMCW_0805","2","","$0.17","0805, Red Typ.(@20mA): 625nm, 150mcd, 2.0V, 140° InGaN","Würth Elektronik","150080RS75000","","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150080RS75000/4489918"
"J1","GPIO","https://cdn-shop.adafruit.com/product-files/2187/CS25582-40G-M36-0A%20(1).jpg","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","1","","$1.95","2x20 SMT Header for Raspberry Pi 4 HAT","Adafruit","2187","","https://www.adafruit.com/product/2187"
"J2,J4","Conn_01x03","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2","","$0.00","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","","","","https://www.amazon.com/Straight-Breakaway-Connector-Breadboard-Electronic/dp/B09MYBRW3F?crid=3JR0BZNCU8K8J&dib=eyJ2IjoiMSJ9.3vFjmsH10W3-0I49M7i2SLer6N2w76n3suAL41lNyWbCktqeX2xUwJKGOw1Unq-mAp24IQL2WQ-Ev7Umi65YUYWwukLOeoqjLE4MCKmsExRo7y7O8beFGF-NY-mrllV9VKK4tI6JlMWT6oqZ_rCOCrXUoStfaWefHyDqNKRyilyns3IozKEM_18D3NupDy3bF_TYgvEPFbIX5EQWrNKwcTDbRlgYyJ1qEApCaPAYdds.HCWtlvjyp8dekPH4j2M5xTF1mJrDF1h5rp-JmzUzVHE&dib_tag=se&keywords=male%2Bpin%2Bheaders&qid=1735364673&sprefix=male%2Bpin%2Bheaders%2Caps%2C130&sr=8-8&th=1"
"J3","~","https://www.tme.com/Document/5fffb0d591c3b83b8e9faab5387231c6/MR30PW-M.pdf","Connector_AMASS:AMASS_MR30PW-M_1x03_P3.50mm_Horizontal","1","","$1.08","MR30PW-M 3-Pin Right Angle Connector","","MR30PW-M","Amass","https://www.tme.com/us/en-us/details/mr30pw-m/dc-power-connectors/amass/"
"J5,J10","Qwiic_RA","https://www.jst-mfg.com/product/pdf/eng/eSH.pdf","QWIIC Connector RA:QWIIC Connector RA","2","","$0.52","4 pin JST 1mm polarized connector for I2C","JST Sales America Inc.","SM04B-SRSS-TB","","https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM04B-SRSS-TB/926710"
"J6,J7","Qwiic_Vertical","https://www.jst-mfg.com/product/pdf/eng/eSH.pdf","SparkFun-Connector:JST_SMD_1.0mm-4_Vertical","2","","$0.54","4 pin JST-SH 1mm polarized connector for I2C","JST Sales America Inc.","BM04B-SRSS-TB","","https://www.digikey.com/en/products/detail/jst-sales-america-inc/BM04B-SRSS-TB/926696"
"J8,J9","SM04B-GHS-TB","https://www.jst-mfg.com/product/pdf/eng/eGH.pdf","SM04B-GHS-TB:CONN_SM04B-GHS-TB_JST","2","","$0.54","JST-GH 4-Pin Right Angle SMT Connector","","SM04B-GHS-TB","JST Sales America Inc.","https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM04B-GHS-TB/807788"
"J11","BM02B-GHS-TBT_LF__SN_","https://www.jst-mfg.com/product/pdf/eng/eGH.pdf","BM02B-GHS-TBT:BM02B-GHS-TBT","1","","None","JST-GH 2-PIN Right Angle SMT Connector","JST Corporation","BM02B-GHS-TBT(LF)(SN)","",""
"J13","SM02B-PASS-TBTLFSN","https://www.jst-mfg.com/product/pdf/eng/ePA-F.pdf","SM02B-PASS-TBT:CONN_SM02B-PASS_JST","1","","$0.58","JST-GH 2-PIN Right Angle Connector","JST Sales America Inc.","SM02B-PASS-TBT","","https://www.digikey.com/en/products/detail/jst-sales-america-inc/SM02B-PASS-TBT/1788574"
"JP1,JP2,JP3,JP4","B03B-PASK-1","https://www.jst-mfg.com/product/pdf/eng/ePA-F.pdf","3 Pin JST-PA Vertical:B03B-PASK-1","4","","$0.25","JST-PA 3-PIN Vertical Through Hole Connector","JST Sales America Inc.","B03B-PASK-1","","https://www.digikey.com/en/products/detail/jst-sales-america-inc/B03B-PASK-1/926739"
"JP5","B04B-PASK-1","https://www.jst-mfg.com/product/pdf/eng/ePA-F.pdf","4 Pin JST-PA Vertical:B04B-PASK-1","1","","$0.29","JST-PA 4-PIN Vertical Through-Hole Connector","JST Sales America Inc.","B04B-PASK-1","","https://www.digikey.com/en/products/detail/jst-sales-america-inc/B04B-PASK-1/926740"
"Q1,Q2,Q3,Q4","AOSS32136C","https://www.aosmd.com/res/datasheets/AOSS32136C.pdf","AOSS32136C:SOT23_AOS","4","","$0.47","MOSFET N-CH 20V 6.5A SOT23-3","Alpha & Omega Semiconductor Inc.","AOSS32136C","","https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AOSS32136C/11567433"
"R1","1k","https://www.bourns.com/docs/product-datasheets/chp-a.pdf","0805 Resistor Moisture Resistant:RES_CHP0805_BRN","1","","$0.46","RES 1K OHM 0.5% 1/2W 0805","Bourns Inc.","CHP0805AFX-1001ELF","","https://www.digikey.com/en/products/detail/bourns-inc/CHP0805AFX-1001ELF/12144379?s=N4IgjCBcoExaBjKAzAhgGwM4FMA0IB7KAbRBgA4A2cuAXXwAcAXKEAZSYCcBLAOwHMQAX3wBWeCCSQ0WPIRIgALKICcAdkUAGEPRDNWHHgOH4wlCVJk58RSKQDMK%2BzBU7GLSOy59BI8CvJXaEkUDGt5OxBtWj8YTXJxYMswuVtSMAACAGsAeQALAFtMNz0PEABVXm4mHOQAWWxUTABXTmwTEABacySoLmbUhTo-TvsLPs4BmwUwaJG4Xsh%2BwcjxGNiFTAKAEwy2zG5MJgJOHSEgA"
"R2","330","https://www.bourns.com/docs/Product-Datasheets/CMP-A.pdf","0805 330 Ohm Resistor Moisture Resistant:RES_CMP0805_BRN","1","","$0.26","RES 330 OHM 0.5% 1/2W 0805","","CMP0805AFX-3300ELF","Bourns Inc.","https://www.digikey.com/en/products/detail/bourns-inc/CMP0805AFX-3300ELF/12333628"
"R3,R4,R5,R6","33","https://www.bourns.com/docs/Product-Datasheets/CMP-A.pdf","CMP0805AFX:RES_CMP0805_BRN","4","","$0.26","RES 33 OHM 0.5% 1/2W 0805","Bourns Inc.","CMP0805AFX-33R0ELF","","https://www.digikey.com/en/products/detail/bourns-inc/CMP0805AFX-33R0ELF/16356183?s=N4IgjCBcoEwAwA4CsVQGMoDMCGAbAzgKYA0IA9lANogDMNABAPIAWAtviALqkAOALlBABVAHYBLPo0wBZQtnwBXAE6EQAXzWkYVEAGFpABURwkAQQBiADS5qgA"
"R7","30k","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6402/SG73S%209424.pdf","SG73S2ATTD3002F:RESC2012X60N","1","","$0.18 ","RES 30K OHM 1% 1/4W 0805","","SG73S2ATTD3002F","KOA Speer Electronics, Inc.","https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/SG73S2ATTD3002F/10292021"
"R8","1M","https://www.bourns.com/docs/Product-Datasheets/CMP-A.pdf","CMP0805AFX:RES_CMP0805_BRN","1","","$0.19","RES 1M OHM 1% 1/2W 0805","","CMP0805AFX-1004ELF","Bourns Inc.","https://www.digikey.com/en/products/detail/bourns-inc/CMP0805AFX-1004ELF/12333611"
"R9,R10,R11","0.04","https://www.vishay.com/docs/30122/wslp.pdf","WSLP 0805 Resistor:RES_VISHAY_WSLP0805_VIS","3","","$1.27","RES 0.04 OHM 0.5% 1/2W 0805","","WSLP0805R0400DEA","Vishay Dale","https://www.digikey.com/en/products/detail/vishay-dale/WSLP0805R0400DEA/9755281?s=N4IgTCBcDaIOoGUAyAFADADjQVgEpoBY00ARAUQEEQBdAXyA"
"R15,R16","0.1","https://www.vishay.com/docs/30122/wslp.pdf","WSLP 0805 Resistor:RES_VISHAY_WSLP0805_VIS","2","","$1.57","RES 0.1 OHM 1% 1/2W 0805","","WSLP0805R1000FEA","Vishay Dale","https://www.digikey.com/en/products/detail/vishay-dale/WSLP0805R1000FEA/9755303"
"RN3","10k","https://industrial.panasonic.com/cdbs/www-data/pdf/AOC0000/AOC0000C14.pdf","10k Resistor Array:RES_EXB2HV","1","","0.25","Resistor Array - 8 Resistors - 10K OHM - 1506","Panasonic Electronic Components","EXB-2HV103JV","","https://www.digikey.com/en/products/detail/panasonic-electronic-components/EXB-2HV103JV/285331"
"RV1","10k","https://www.bourns.com/docs/Product-Datasheets/TC33.pdf","10k Potentiometer:POT_TC33_3X3P8_BRN","1","","$0.33","Potentiometer 10K OHM 0.15W J-Lead","","TC33X-1-103ETC33X-1-103E","Bourns Inc.","https://www.digikey.com/en/products/detail/bourns-inc/TC33X-1-103E/2566867?s=N4IgTCBcDaIEIHsCuAnAdgZwAQEk0GMA6LAFQGEBmCgDQFoBGBgBgoFEQBdAXyA"
"U1","INA3221","http://www.ti.com/lit/ds/symlink/ina3221.pdf","Package_DFN_QFN:Texas_RGV0016A_VQFN-16-1EP_4x4mm_P0.65mm_EP2.1x2.1mm","1","","$4.11","Triple-Channel High-Side Shunt and Bus Voltage Monitor with I2C and SMBUS Compatible Interface, QFN-16","Texas Instruments","INA3221AQRGVRQ1","","https://www.digikey.com/en/products/detail/texas-instruments/INA3221AQRGVRQ1/5995432"
"U2","DRV8871DDA","http://www.ti.com/lit/ds/symlink/drv8871.pdf","Package_SO:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias","1","","$3.03","Brushed DC Motor Driver, PWM Control, 45V, 3.6A, Current limiting, HTSOP-8","Texas Instruments","DRV8871DDARQ1","","https://www.digikey.com/en/products/detail/texas-instruments/DRV8871DDARQ1/7244177?s=N4IgTCBcDaICICUBqAOFB2AjHOBBBAipiALoC%2BQA"
"U3","DRV8825PWPR","https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fdrv8825","DRV8825:PWP28_5P18X3P1","1","","$5.14","Bipolar Stepper Motor Driver Power MOSFET Logic 28-HTSSOP","Texas Instruments","DRV8825PWPR","","https://www.digikey.com/en/products/detail/texas-instruments/DRV8825PWPR/2695909"
